VCD info: dumpfile FullAdder4bit.vcd opened for output.
  a   b | sum | expected sum | overflow | expected overflow
  0   0 |  0  |       0      |    0     |          0 : Adding two zeros
  1   2 |  3  |       3      |    0     |          0 : Positive no overflow
  7   3 | -6  |      10      |    1     |          1 : Positive overflow
  7   1 | -8  |       8      |    1     |          1 : Positive boundary overflow
 -1  -3 | -4  |      -4      |    0     |          0 : Negative no overflow
 -5  -6 |  5  |     -11      |    1     |          1 : Negative overflow
 -4  -4 | -8  |      -8      |    0     |          0 : Negative boundary no overflow
 -3  -6 |  7  |      -9      |    1     |          1 : Negative boundary overflow
  7   7 | -2  |      14      |    1     |          1 : Positive extreme
 -8  -8 |  0  |     -16      |    1     |          1 : Negative extreme
  2  -2 |  0  |       0      |    0     |          0 : Cancel out
 -1  -1 | -2  |      -2      |    0     |          0 : Signed VS Unsigned
  2   1 |  3  |       3      |    0     |          0 : Symmetry
  3   0 |  3  |       3      |    0     |          0 : Positive Equality
 -4   0 | -4  |      -4      |    0     |          0 : Negative Equality
 -3   7 |  4  |       4      |    0     |          0 : Random test
 a  b | sum | overflow | carryout
 -8  -8 |  0  |    1     |   1
 -8  -7 |  1  |    1     |   1
 -8  -6 |  2  |    1     |   1
 -8  -5 |  3  |    1     |   1
 -8  -4 |  4  |    1     |   1
 -8  -3 |  5  |    1     |   1
 -8  -2 |  6  |    1     |   1
 -8  -1 |  7  |    1     |   1
 -8   0 | -8  |    0     |   0
 -8   1 | -7  |    0     |   0
 -8   2 | -6  |    0     |   0
 -8   3 | -5  |    0     |   0
 -8   4 | -4  |    0     |   0
 -8   5 | -3  |    0     |   0
 -8   6 | -2  |    0     |   0
 -8   7 | -1  |    0     |   0
 -7  -8 |  1  |    1     |   1
 -7  -7 |  2  |    1     |   1
 -7  -6 |  3  |    1     |   1
 -7  -5 |  4  |    1     |   1
 -7  -4 |  5  |    1     |   1
 -7  -3 |  6  |    1     |   1
 -7  -2 |  7  |    1     |   1
 -7  -1 | -8  |    0     |   1
 -7   0 | -7  |    0     |   0
 -7   1 | -6  |    0     |   0
 -7   2 | -5  |    0     |   0
 -7   3 | -4  |    0     |   0
 -7   4 | -3  |    0     |   0
 -7   5 | -2  |    0     |   0
 -7   6 | -1  |    0     |   0
 -7   7 |  0  |    0     |   1
 -6  -8 |  2  |    1     |   1
 -6  -7 |  3  |    1     |   1
 -6  -6 |  4  |    1     |   1
 -6  -5 |  5  |    1     |   1
 -6  -4 |  6  |    1     |   1
 -6  -3 |  7  |    1     |   1
 -6  -2 | -8  |    0     |   1
 -6  -1 | -7  |    0     |   1
 -6   0 | -6  |    0     |   0
 -6   1 | -5  |    0     |   0
 -6   2 | -4  |    0     |   0
 -6   3 | -3  |    0     |   0
 -6   4 | -2  |    0     |   0
 -6   5 | -1  |    0     |   0
 -6   6 |  0  |    0     |   1
 -6   7 |  1  |    0     |   1
 -5  -8 |  3  |    1     |   1
 -5  -7 |  4  |    1     |   1
 -5  -6 |  5  |    1     |   1
 -5  -5 |  6  |    1     |   1
 -5  -4 |  7  |    1     |   1
 -5  -3 | -8  |    0     |   1
 -5  -2 | -7  |    0     |   1
 -5  -1 | -6  |    0     |   1
 -5   0 | -5  |    0     |   0
 -5   1 | -4  |    0     |   0
 -5   2 | -3  |    0     |   0
 -5   3 | -2  |    0     |   0
 -5   4 | -1  |    0     |   0
 -5   5 |  0  |    0     |   1
 -5   6 |  1  |    0     |   1
 -5   7 |  2  |    0     |   1
 -4  -8 |  4  |    1     |   1
 -4  -7 |  5  |    1     |   1
 -4  -6 |  6  |    1     |   1
 -4  -5 |  7  |    1     |   1
 -4  -4 | -8  |    0     |   1
 -4  -3 | -7  |    0     |   1
 -4  -2 | -6  |    0     |   1
 -4  -1 | -5  |    0     |   1
 -4   0 | -4  |    0     |   0
 -4   1 | -3  |    0     |   0
 -4   2 | -2  |    0     |   0
 -4   3 | -1  |    0     |   0
 -4   4 |  0  |    0     |   1
 -4   5 |  1  |    0     |   1
 -4   6 |  2  |    0     |   1
 -4   7 |  3  |    0     |   1
 -3  -8 |  5  |    1     |   1
 -3  -7 |  6  |    1     |   1
 -3  -6 |  7  |    1     |   1
 -3  -5 | -8  |    0     |   1
 -3  -4 | -7  |    0     |   1
 -3  -3 | -6  |    0     |   1
 -3  -2 | -5  |    0     |   1
 -3  -1 | -4  |    0     |   1
 -3   0 | -3  |    0     |   0
 -3   1 | -2  |    0     |   0
 -3   2 | -1  |    0     |   0
 -3   3 |  0  |    0     |   1
 -3   4 |  1  |    0     |   1
